UIDLU,Site name,Latitude,Longitude
LU516,NA Sandy Bay Rivulet,-42.86383,147.28273
LU517,New Town Rivulet,-42.86381,147.2816
LU518,New Town Rivulet,-42.86381,147.2816
LU519,Newtown Rivulet  upstr. Girrabong Rd,-42.86366652,147.2822189357926
LU520,Newtown Rivulet NTR04,-42.86291,147.28287
LU521,Newtown Rivulet NTR04,-42.86291,147.28287
LU522,Newtown Rivulet NTR04,-42.86291,147.28287
LU523,Newtown Rivulet  upstr. factory outlet,-42.86139054,147.28490163126725
LU524,Newtown Rivulet  below factory outlet,-42.86115562,147.28521882083908
LU525,Newtown Rivulet 50m below factory outlet,-42.86085747,147.28560916319617
LU526,Plenty River us Stony Ck,-42.8605307,146.8575266
LU527,Plenty River us Stony Ck,-42.8605307,146.8575266
LU528,Newtown Rivulet NTR05,-42.85925,147.28774999999996
LU529,Newtown Rivulet NTR05,-42.85925,147.28774999999996
LU530,Newtown Rivulet NTR05,-42.85925,147.28774999999996
LU531,NewTown Rivulet NTR06,-42.85905,147.28866
LU532,NewTown Rivulet NTR06,-42.85905,147.28866
LU533,NewTown Rivulet NTR06,-42.85905,147.28866
LU534,Kangaroo Bay @ Schouten Street,-42.85837,147.3752
LU535,"Newtown Rivulet at ""The Castle""",-42.85779248,147.29045450728927
LU536,Lachlan River @ Lachlan road,-42.85507,147.02635
LU537,Kangaroo Bay @ Bounty Street,-42.85456,147.39091
LU538,Kangaroo Bay Rivulet upstream of flagstaff gully link,-42.85449,147.39595999999997
LU539,Newtown Rivulet NTR07,-42.85346,147.29573
LU540,Newtown Rivulet NTR07,-42.85346,147.29573
LU541,Newtown Rivulet NTR07,-42.85346,147.29573
LU542,Newtown Rivulet upstr. Main Rd,-42.85237297,147.29681808123604
LU543,Newtown Rivulet at Risdon Rd,-42.85053292,147.31149612280547
LU544,Newtown Rivulet NTR08,-42.84971,147.31064
LU545,Newtown Rivulet NTR08,-42.84971,147.31064
LU546,Newtown Rivulet NTR08,-42.84971,147.31064
LU547,Humphreys Rivulet end of Chapel Street,-42.84883,147.2505
LU548,Humphreys Rivulet @ Chapel Street,-42.84431,147.25885
LU549,sorell creek,-42.84353,147.18988
LU550,Humphreys Rivulet downstream of Brent Street,-42.83987,147.26864
LU551,Islet Rivulet,-42.83751,147.2374
LU552,Humphreys Rivulet downstream of Grove road,-42.82699,147.27643
LU553,Lachlan River @ Moores road,-42.8119,147.05547
LU554,Faulkner Rivulet off apanie crescent,-42.81186,147.23803000000004
LU555,Faulkner Rivulet upstream Boondar Street,-42.80872,147.24166
LU556,Faulkner Rivulet upstream of CC Access,-42.79718,147.25171
LU557,Lachlan River @ Humphrey Street,-42.78857,147.06590999999997
LU558,Lachlan River at Tynwald Park,-42.77698,147.07044
LU559,Sorell Rivulet upstream,-42.76409,147.57668
LU560,Jordan River lowest,-42.72638,147.26167
LU561,Tyenna River,-42.70705,146.70915999999997
LU562,Jordan River @ Polonia Bridge,-42.70207,147.26598
LU563,Jordan River @ marstrand memorial bridge,-42.6841,147.18297
LU564,Jordan River downstream of Andersons road bridge,-42.63179,147.10927
ALB100,"Albert Ck, Coal mine Rd",-43.17802,147.1493
AGN010,"Agnes Rlt, O'brians Rd",-43.12712,147.0907
AGN016,"Agnes Rlt, Woodcock Rd",-43.1391,147.08055
AGN130,"Agnes Rlt, Football Grnd",-43.15662,147.0751
ARV010,"Arve R, Arve Rd picnic area",-43.15872,146.8071
ARV650,"Arve R, Edwards Rd",-43.06725,146.82327
BAK100,"Bakers Ck, Adyah farm",-42.96867,147.0369
BAK200,"Bakers Ck, Lucaston Rd",-42.97938,147.05451
BAR400,"Barretts Ck, Pelverata Rd",-43.07608,147.0665
CFR200,"Castle Forbes Rlt, Harwoods Rd",-43.1261,146.95867
CFR300,"Castle Forbes Rlt, 1st Bridge",-43.13287,146.9723
CRB300,"Crabtree Rlt, Crabtree Rd",-42.96955,147.08683
CRO400,"Crowthers Rd trib, below hwy",-43.1392,146.9719
DIC500,"Dickensons Ck, Glen Huon Rd",-43.00928,146.93444
DIP100,"Dip Ck, u/s Mountain R",-42.96097,147.1096
DOV070,"Dover Rlt, Huon Hwy",-43.29767,147.01018
FLU100,"Fluertys Rlt, 4 Murrells Rd",-43.11335,146.99392
FOU100,"Fourteen Turn Ck,Huon Hwy",-42.98365,147.09406
GRD100,"Gardners Ck, Bluegum Rd",-43.2109,147.17933
GRD200,"Gardners Creek, Ist Bridge Woodbridge Hill Rd",-43.18112,147.1138
GIC450,"Garden Isl Ck, end of sealed Rd",-43.2109,147.17933
GIC500,"Garden Isl Ck, Cunninghams Rd",-43.22486,147.1692
GIC700,"Garden Isl Ck, Brittains Rd",-43.2377,147.15474
GVC115,"Golden Valley Ck, Slab Rd",-43.15527,147.074
HUO010,"Huon R, Tahune bridge",-43.09504,146.72887
HUO140,"Huon R, Judbury Bridge",-42.99877,146.92822
HUO400,"Huon R, Smiths Rd",-43.01431,147.0108
